conversation_id,client_id,date,document_requested,client_message,advisor_response,document_received,document_correct,follow_up_needed,sentiment_client,communication_channel
CONV_00043,CLI_0011,2026-01-26T16:33:51.479869,Passport,Hope this is everything,Just send new licence - no need for both.,True,True,False,Neutral,Phone
CONV_00044,CLI_0034,2025-11-12T16:33:51.480176,Council Tax,I don't have a recent payslip,Use passport plus employer letter for overseas.,True,True,True,Helpful,WhatsApp
CONV_00045,CLI_0032,2025-12-16T16:33:51.480441,Driving Licence,I've lost some documents,All set! Ready for advice meeting.,True,True,True,Confused,WhatsApp
CONV_00046,CLI_0028,2025-12-16T16:33:51.480721,P60,Still need documents?,"Perfect, thanks for bank statement.",True,True,False,Helpful,SMS
CONV_00047,CLI_0001,2025-12-25T16:33:51.480991,Mortgage Statement,Hope this is everything,Great! I see your passport and utility bill. Still waiting on P60.,False,False,False,Confused,Phone
CONV_00048,CLI_0015,2025-12-03T16:33:51.481255,Pension Statement,I've lost some documents,Perfect! They uploaded successfully.,False,False,False,Neutral,WhatsApp
CONV_00049,CLI_0007,2025-11-29T16:33:51.481519,Utility Bill,I've sent everything,No problem. P60 from last year works fine if no recent payslip.,False,True,False,Helpful,Email
CONV_00050,CLI_0044,2026-01-23T16:33:51.481801,Council Tax,"I found my P60 from 2023, will that work?",Council tax or utility bill works equally well.,True,False,False,Frustrated,Phone
CONV_00051,CLI_0024,2026-01-21T16:33:51.482067,Pension Statement,Does the utility bill need to be in my name?,Perfect! They uploaded successfully.,False,False,False,Neutral,SMS
CONV_00052,CLI_0031,2025-12-31T16:33:51.482328,Payslip,Is this urgent?,Use passport plus employer letter for overseas.,True,True,True,Helpful,Phone
CONV_00053,CLI_0024,2026-01-15T16:33:51.482592,Investment Statement,I've sent everything,Absolutely! WhatsApp is fine.,False,True,False,Confused,Email
CONV_00054,CLI_0010,2025-12-31T16:33:51.482851,Pension Statement,Can I send via WhatsApp?,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,False,False,Frustrated,Email
CONV_00055,CLI_0026,2025-11-27T16:33:51.483117,Payslip,"I found my P60 from 2023, will that work?",Excellent! Got all documents. Let me review.,False,True,True,Neutral,SMS
CONV_00056,CLI_0044,2025-11-18T16:33:51.483379,Passport,I don't have a recent payslip,2023 P60 too old. Need 2024 or 2025.,True,True,False,Frustrated,Phone
CONV_00057,CLI_0012,2025-11-21T16:33:51.483657,Pension Statement,Can I send via WhatsApp?,All set! Ready for advice meeting.,True,True,False,Confused,WhatsApp
CONV_00058,CLI_0004,2025-12-05T16:33:51.483924,Payslip,I don't have a recent payslip,Happy to clarify! I'll email checklist.,False,True,True,Confused,SMS
CONV_00059,CLI_0012,2025-12-18T16:33:51.484226,Investment Statement,"Bank won't give statement, what now?",Thanks for sending these.,True,True,False,Helpful,Email
CONV_00060,CLI_0032,2025-12-19T16:33:51.484493,Utility Bill,Can I send via WhatsApp?,2023 P60 too old. Need 2024 or 2025.,True,True,True,Frustrated,SMS
CONV_00061,CLI_0003,2025-12-28T16:33:51.484776,Mortgage Statement,Hope this is everything,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,False,True,Neutral,Email
CONV_00062,CLI_0024,2025-12-26T16:33:51.485043,Council Tax,"My driving licence is expired, is that ok?",Utility bill is perfect - within 3 months.,True,True,False,Helpful,WhatsApp
CONV_00063,CLI_0041,2025-11-27T16:33:51.485307,Council Tax,Hope this is everything,Great! I see your passport and utility bill. Still waiting on P60.,True,True,True,Neutral,Phone
CONV_00064,CLI_0012,2026-01-14T16:33:51.485568,Utility Bill,"Sorry, I've been busy",Just send new licence - no need for both.,False,True,False,Neutral,SMS
CONV_00065,CLI_0042,2025-12-26T16:33:51.485835,Driving Licence,I've attached my bank statement,2023 P60 too old. Need 2024 or 2025.,True,True,True,Helpful,Phone
CONV_00066,CLI_0039,2025-11-09T16:33:51.486100,Investment Statement,Do you need all of these?,Excellent! Got all documents. Let me review.,False,True,True,Neutral,SMS
CONV_00067,CLI_0037,2025-11-28T16:33:51.486363,P60,"Sorry, I've been busy",Utility bill is perfect - within 3 months.,False,True,False,Helpful,Phone
CONV_00068,CLI_0003,2026-01-18T16:33:51.486631,Payslip,Still need documents?,Don't worry - we can request from provider.,True,True,False,Frustrated,WhatsApp
CONV_00069,CLI_0008,2025-12-06T16:33:51.486918,Passport,I've uploaded documents to portal,I see passport and utility bill. Just need payslip.,True,True,False,Frustrated,WhatsApp
CONV_00070,CLI_0044,2026-01-04T16:33:51.487180,Pension Statement,Hope this is everything,Just send new licence - no need for both.,True,True,False,Neutral,Phone
CONV_00071,CLI_0009,2026-01-12T16:33:51.487441,P60,I'm not sure what documents I need,No problem. P60 from last year works fine if no recent payslip.,True,True,False,Frustrated,SMS
CONV_00072,CLI_0014,2026-01-12T16:33:51.487719,Mortgage Statement,Can I send via WhatsApp?,I see passport and utility bill. Just need payslip.,False,True,True,Helpful,SMS
CONV_00073,CLI_0047,2026-01-09T16:33:51.487985,Driving Licence,I've sent everything,2023 P60 too old. Need 2024 or 2025.,False,False,False,Confused,Phone
CONV_00074,CLI_0042,2026-01-24T16:33:51.488285,Bank Statement,Can I send via WhatsApp?,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,False,False,Helpful,Phone
CONV_00075,CLI_0047,2025-11-28T16:33:51.488472,Driving Licence,Is this urgent?,Don't worry - we can request from provider.,False,True,True,Helpful,WhatsApp
CONV_00076,CLI_0049,2025-11-04T16:33:51.488574,Pension Statement,I've lost some documents,Expired licence won't work. Can you use your passport?,True,True,False,Frustrated,WhatsApp
CONV_00077,CLI_0005,2025-12-01T16:33:51.488944,Investment Statement,Do you need all of these?,All looks great!,True,True,True,Frustrated,WhatsApp
CONV_00078,CLI_0013,2025-11-16T16:33:51.489033,Investment Statement,Can you remind me what you need?,I see passport and utility bill. Just need payslip.,True,True,False,Neutral,SMS
CONV_00079,CLI_0006,2025-11-11T16:33:51.489111,Driving Licence,Does the utility bill need to be in my name?,Happy to clarify! I'll email checklist.,True,True,False,Neutral,Phone
CONV_00080,CLI_0007,2025-11-08T16:33:51.489189,Investment Statement,Hope this is everything,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,True,False,Confused,Email
CONV_00081,CLI_0025,2025-12-14T16:33:51.489269,Passport,How do I prove address?,No problem. P60 from last year works fine if no recent payslip.,False,False,False,Neutral,Phone
CONV_00082,CLI_0010,2025-12-17T16:33:51.489346,Driving Licence,Can you remind me what you need?,No problem. P60 from last year works fine if no recent payslip.,True,True,True,Confused,Email
CONV_00083,CLI_0029,2026-01-07T16:33:51.489424,Mortgage Statement,I've sent everything,"Perfect, thanks for bank statement.",True,True,False,Helpful,SMS
CONV_00084,CLI_0048,2025-11-23T16:33:51.489501,Bank Statement,I've lost some documents,All looks great!,True,True,True,Helpful,SMS
CONV_00085,CLI_0016,2026-01-17T16:33:51.489579,P60,"My driving licence is expired, is that ok?",I see passport and utility bill. Just need payslip.,True,False,False,Helpful,Phone
CONV_00086,CLI_0014,2025-12-11T16:33:51.489694,Council Tax,I've lost some documents,Just send new licence - no need for both.,True,True,False,Neutral,Phone
CONV_00087,CLI_0002,2025-11-16T16:33:51.489779,Passport,"My driving licence is expired, is that ok?",I see passport and utility bill. Just need payslip.,False,True,True,Helpful,SMS
CONV_00088,CLI_0049,2025-12-02T16:33:51.489857,Mortgage Statement,I can't find my pension statement,Expired licence won't work. Can you use your passport?,True,False,True,Confused,WhatsApp
CONV_00089,CLI_0045,2025-12-16T16:33:51.489940,Mortgage Statement,Does the utility bill need to be in my name?,Happy to clarify! I'll email checklist.,True,True,False,Frustrated,Email
CONV_00090,CLI_0042,2026-01-08T16:33:51.490018,Pension Statement,Still need documents?,Perfect! They uploaded successfully.,False,True,False,Helpful,WhatsApp
CONV_00091,CLI_0039,2025-11-04T16:33:51.490096,Mortgage Statement,Can I send via WhatsApp?,Thanks for sending these.,True,True,False,Helpful,Email
CONV_00092,CLI_0035,2025-12-30T16:33:51.490172,Driving Licence,How do I prove address?,Council tax or utility bill works equally well.,True,True,False,Helpful,Phone
CONV_00093,CLI_0009,2026-01-07T16:33:51.490249,Investment Statement,Do you need all of these?,No problem. P60 from last year works fine if no recent payslip.,True,True,False,Frustrated,SMS
CONV_00094,CLI_0041,2025-11-18T16:33:51.490327,Passport,Documents requested - I've scanned them,Absolutely! WhatsApp is fine.,False,True,False,Helpful,Email
CONV_00095,CLI_0046,2025-12-27T16:33:51.490408,Council Tax,I don't have a recent payslip,Happy to clarify! I'll email checklist.,True,True,False,Confused,Email
CONV_00096,CLI_0049,2025-12-03T16:33:51.490485,Driving Licence,I've attached my bank statement,Utility bill is perfect - within 3 months.,False,True,True,Neutral,SMS
CONV_00097,CLI_0044,2026-01-29T16:33:51.490567,Mortgage Statement,"I found my P60 from 2023, will that work?",Great! I see your passport and utility bill. Still waiting on P60.,True,True,False,Neutral,SMS
CONV_00098,CLI_0030,2026-01-24T16:33:51.490671,Council Tax,I've sent everything,Expired licence won't work. Can you use your passport?,True,True,True,Helpful,WhatsApp
CONV_00099,CLI_0042,2025-12-08T16:33:51.490759,Investment Statement,Still need documents?,Utility bill is perfect - within 3 months.,True,True,True,Confused,Phone
CONV_00100,CLI_0045,2026-01-27T16:33:51.490838,Bank Statement,I've uploaded documents to portal,No rush! Whenever suits you.,True,True,False,Confused,Phone
CONV_00101,CLI_0022,2025-11-21T16:33:51.490919,Driving Licence,Documents requested - I've scanned them,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,True,False,Frustrated,Phone
CONV_00102,CLI_0036,2026-01-09T16:33:51.490997,Passport,Can I send via WhatsApp?,Use passport plus employer letter for overseas.,True,False,True,Frustrated,Email
CONV_00103,CLI_0011,2025-12-11T16:33:51.491077,Utility Bill,"My driving licence is expired, is that ok?",All looks great!,True,True,False,Neutral,WhatsApp
CONV_00104,CLI_0037,2026-01-20T16:33:51.491154,Council Tax,Hope this is everything,Perfect! They uploaded successfully.,False,True,False,Confused,Phone
CONV_00105,CLI_0030,2025-11-26T16:33:51.491231,Payslip,Still need documents?,Excellent! Got all documents. Let me review.,True,False,False,Neutral,SMS
CONV_00106,CLI_0002,2025-11-11T16:33:51.491308,Utility Bill,I've lost some documents,All set! Ready for advice meeting.,True,True,False,Frustrated,Phone
CONV_00107,CLI_0033,2026-01-18T16:33:51.491386,Council Tax,I'm not sure what documents I need,Absolutely! WhatsApp is fine.,True,True,False,Helpful,Email
CONV_00108,CLI_0006,2026-01-19T16:33:51.491463,Investment Statement,Do you need all of these?,No rush! Whenever suits you.,True,True,False,Frustrated,WhatsApp
CONV_00109,CLI_0012,2026-01-14T16:33:51.491541,Council Tax,"I found my P60 from 2023, will that work?",I see passport and utility bill. Just need payslip.,True,True,False,Helpful,Email
CONV_00110,CLI_0019,2026-01-22T16:33:51.491619,Driving Licence,Do you need all of these?,I see passport and utility bill. Just need payslip.,True,True,False,Helpful,SMS
CONV_00111,CLI_0009,2026-01-11T16:33:51.491729,Utility Bill,Can you remind me what you need?,Absolutely! WhatsApp is fine.,False,True,False,Confused,WhatsApp
CONV_00112,CLI_0039,2026-01-15T16:33:51.491813,Pension Statement,I've attached my bank statement,Excellent! Got all documents. Let me review.,False,False,False,Neutral,SMS
CONV_00113,CLI_0050,2025-11-30T16:33:51.491895,P60,I don't have a recent payslip,Excellent! Got all documents. Let me review.,True,True,False,Frustrated,Phone
CONV_00114,CLI_0005,2026-01-30T16:33:51.491973,Bank Statement,"I found my P60 from 2023, will that work?",Just send new licence - no need for both.,True,True,False,Frustrated,Email
CONV_00115,CLI_0013,2025-11-08T16:33:51.492051,P60,Can I send via WhatsApp?,"Perfect, thanks for bank statement.",True,True,False,Confused,SMS
CONV_00116,CLI_0021,2025-12-08T16:33:51.492178,Council Tax,"My driving licence is expired, is that ok?",Great! I see your passport and utility bill. Still waiting on P60.,True,True,False,Frustrated,Email
CONV_00117,CLI_0029,2025-12-21T16:33:51.492275,Payslip,I can't find my pension statement,Use passport plus employer letter for overseas.,False,False,False,Frustrated,Email
CONV_00118,CLI_0002,2026-01-22T16:33:51.492354,Passport,Can I send via WhatsApp?,No rush! Whenever suits you.,True,True,False,Helpful,Phone
CONV_00119,CLI_0008,2025-11-14T16:33:51.492433,Passport,How do I prove address?,Use passport plus employer letter for overseas.,False,True,False,Frustrated,WhatsApp
CONV_00120,CLI_0013,2025-11-06T16:33:51.492512,Pension Statement,Is this urgent?,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",False,False,False,Frustrated,WhatsApp
CONV_00121,CLI_0021,2025-12-05T16:33:51.492590,Pension Statement,I've lost some documents,Expired licence won't work. Can you use your passport?,True,True,False,Confused,SMS
CONV_00122,CLI_0043,2026-01-27T16:33:51.492701,Mortgage Statement,I've attached my bank statement,No rush! Whenever suits you.,False,False,False,Confused,Email
CONV_00123,CLI_0031,2026-01-07T16:33:51.492783,Pension Statement,Can you remind me what you need?,Great! I see your passport and utility bill. Still waiting on P60.,True,False,False,Confused,Phone
CONV_00124,CLI_0041,2025-11-04T16:33:51.492861,Investment Statement,Can I send via WhatsApp?,Don't worry - we can request from provider.,True,True,True,Neutral,Email
CONV_00125,CLI_0032,2026-01-21T16:33:51.492943,Driving Licence,I can't find my pension statement,Just send new licence - no need for both.,False,True,False,Confused,SMS
CONV_00126,CLI_0014,2025-11-04T16:33:51.493021,Mortgage Statement,Can I send via WhatsApp?,All set! Ready for advice meeting.,False,False,False,Neutral,Email
CONV_00127,CLI_0021,2025-12-31T16:33:51.493100,Utility Bill,Documents requested - I've scanned them,Perfect! They uploaded successfully.,False,True,False,Neutral,Email
CONV_00128,CLI_0008,2026-01-25T16:33:51.493180,Pension Statement,I've sent everything,I see passport and utility bill. Just need payslip.,True,True,False,Confused,Email
CONV_00129,CLI_0013,2026-01-30T16:33:51.493258,Driving Licence,Hope this is everything,All set! Ready for advice meeting.,True,True,False,Confused,WhatsApp
CONV_00130,CLI_0013,2025-12-20T16:33:51.493337,Payslip,I've attached my bank statement,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,True,False,Frustrated,Phone
CONV_00131,CLI_0039,2026-01-24T16:33:51.493413,Investment Statement,I can't find my pension statement,Council tax or utility bill works equally well.,True,True,True,Confused,WhatsApp
CONV_00132,CLI_0035,2025-11-04T16:33:51.493490,Mortgage Statement,I can't find my pension statement,Absolutely! WhatsApp is fine.,True,False,False,Frustrated,Email
CONV_00133,CLI_0036,2025-12-05T16:33:51.493566,Payslip,I've sent everything,Perfect! They uploaded successfully.,False,True,True,Confused,SMS
CONV_00134,CLI_0016,2025-11-23T16:33:51.493665,Utility Bill,"Bank won't give statement, what now?","Perfect, thanks for bank statement.",False,True,False,Neutral,WhatsApp
CONV_00135,CLI_0035,2025-12-26T16:33:51.493753,Mortgage Statement,"I found my P60 from 2023, will that work?",No rush! Whenever suits you.,False,False,False,Confused,Email
CONV_00136,CLI_0045,2026-01-15T16:33:51.493831,Council Tax,Documents requested - I've scanned them,Expired licence won't work. Can you use your passport?,True,True,False,Neutral,SMS
CONV_00137,CLI_0004,2026-01-08T16:33:51.493921,Pension Statement,Do you need all of these?,All looks great!,True,False,False,Helpful,Phone
CONV_00138,CLI_0019,2026-01-08T16:33:51.493999,Payslip,Does the utility bill need to be in my name?,Utility bill is perfect - within 3 months.,True,True,True,Confused,SMS
CONV_00139,CLI_0048,2025-12-08T16:33:51.494078,Council Tax,How do I prove address?,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",False,True,False,Helpful,SMS
CONV_00140,CLI_0011,2025-12-18T16:33:51.494156,Investment Statement,I'm not sure what documents I need,Perfect! They uploaded successfully.,True,True,False,Helpful,Phone
CONV_00141,CLI_0047,2026-01-23T16:33:51.494233,Bank Statement,Still need documents?,"Perfect, thanks for bank statement.",False,True,False,Frustrated,SMS
CONV_00142,CLI_0049,2025-11-23T16:33:51.494310,Payslip,How do I prove address?,Use passport plus employer letter for overseas.,True,False,True,Neutral,SMS
CONV_00143,CLI_0005,2025-11-09T16:33:51.494387,P60,How do I prove address?,Don't worry - we can request from provider.,True,True,False,Neutral,SMS
CONV_00144,CLI_0039,2025-12-28T16:33:51.494463,Driving Licence,I'm not sure what documents I need,Expired licence won't work. Can you use your passport?,True,False,False,Confused,Email
CONV_00145,CLI_0031,2026-01-08T16:33:51.494542,Council Tax,"My driving licence is expired, is that ok?",Utility bill is perfect - within 3 months.,False,False,False,Helpful,WhatsApp
CONV_00146,CLI_0014,2026-01-22T16:33:51.494619,Pension Statement,Still need documents?,Council tax or utility bill works equally well.,True,True,True,Confused,Email
CONV_00147,CLI_0045,2025-12-07T16:33:51.494730,Council Tax,Is this urgent?,All set! Ready for advice meeting.,True,True,False,Neutral,Email
CONV_00148,CLI_0027,2025-11-23T16:33:51.494811,Bank Statement,Hope this is everything,All looks great!,True,True,False,Confused,SMS
CONV_00149,CLI_0021,2026-01-06T16:33:51.494894,Mortgage Statement,I've sent everything,Absolutely! WhatsApp is fine.,True,True,False,Helpful,SMS
CONV_00150,CLI_0026,2025-11-05T16:33:51.494973,P60,How do I prove address?,Thanks for sending these.,True,True,True,Frustrated,Email
CONV_00151,CLI_0033,2025-11-25T16:33:51.495050,Driving Licence,I can't find my pension statement,Excellent! Got all documents. Let me review.,True,True,True,Frustrated,Phone
CONV_00152,CLI_0028,2025-12-20T16:33:51.495127,Mortgage Statement,Can you remind me what you need?,Excellent! Got all documents. Let me review.,True,True,False,Neutral,Phone
CONV_00153,CLI_0001,2025-11-08T16:33:51.495207,Mortgage Statement,I've attached my bank statement,Great! I see your passport and utility bill. Still waiting on P60.,True,True,False,Confused,WhatsApp
CONV_00154,CLI_0039,2025-11-17T16:33:51.495288,Payslip,Hope this is everything,No rush! Whenever suits you.,False,True,True,Helpful,SMS
CONV_00155,CLI_0049,2026-01-11T16:33:51.495365,Bank Statement,I've uploaded documents to portal,Expired licence won't work. Can you use your passport?,True,True,False,Frustrated,SMS
CONV_00156,CLI_0022,2026-01-18T16:33:51.495441,Council Tax,Can you remind me what you need?,No rush! Whenever suits you.,True,True,False,Frustrated,WhatsApp
CONV_00157,CLI_0003,2025-12-19T16:33:51.495520,Pension Statement,I'm not sure what documents I need,Don't worry - we can request from provider.,True,False,False,Frustrated,SMS
CONV_00158,CLI_0050,2025-11-24T16:33:51.495598,Utility Bill,"Bank won't give statement, what now?",I see passport and utility bill. Just need payslip.,False,True,False,Confused,Email
CONV_00159,CLI_0036,2025-11-08T16:33:51.495705,P60,"Sorry, I've been busy",Happy to clarify! I'll email checklist.,True,True,False,Neutral,WhatsApp
CONV_00160,CLI_0020,2026-01-20T16:33:51.495786,Payslip,Do you need all of these?,Excellent! Got all documents. Let me review.,True,True,True,Helpful,WhatsApp
CONV_00161,CLI_0038,2026-01-31T16:33:51.495864,Passport,"Sorry, I've been busy","Perfect, thanks for bank statement.",True,True,False,Neutral,Phone
CONV_00162,CLI_0046,2026-01-13T16:33:51.495950,Payslip,Can you remind me what you need?,Utility bill is perfect - within 3 months.,True,True,True,Frustrated,SMS
CONV_00163,CLI_0021,2026-01-28T16:33:51.496028,Driving Licence,"I found my P60 from 2023, will that work?","Perfect, thanks for bank statement.",True,True,True,Neutral,Phone
CONV_00164,CLI_0005,2025-12-02T16:33:51.496105,Utility Bill,Can you remind me what you need?,All set! Ready for advice meeting.,True,False,True,Frustrated,SMS
CONV_00165,CLI_0002,2025-11-08T16:33:51.496224,Investment Statement,Do you need all of these?,No problem. P60 from last year works fine if no recent payslip.,True,True,False,Confused,WhatsApp
CONV_00166,CLI_0026,2025-11-08T16:33:51.496305,Passport,I don't have a recent payslip,All set! Ready for advice meeting.,True,True,False,Helpful,Email
CONV_00167,CLI_0023,2026-01-15T16:33:51.496385,Payslip,I've attached my bank statement,Utility bill is perfect - within 3 months.,True,True,False,Confused,Email
CONV_00168,CLI_0016,2025-11-27T16:33:51.496462,Driving Licence,I don't have a recent payslip,No rush! Whenever suits you.,False,True,False,Confused,WhatsApp
CONV_00169,CLI_0001,2025-11-06T16:33:51.496542,Pension Statement,I don't have a recent payslip,Expired licence won't work. Can you use your passport?,True,True,False,Frustrated,SMS
CONV_00170,CLI_0046,2026-01-18T16:33:51.496620,Council Tax,"My driving licence is expired, is that ok?",Utility bill is perfect - within 3 months.,False,True,False,Helpful,Phone
CONV_00171,CLI_0033,2026-01-09T16:33:51.496731,Payslip,Do you need all of these?,Absolutely! WhatsApp is fine.,True,True,False,Helpful,SMS
CONV_00172,CLI_0030,2026-01-07T16:33:51.496813,Council Tax,"Sorry, I've been busy",Absolutely! WhatsApp is fine.,True,True,True,Helpful,Phone
